uses_focus_apps,has_digital_wellbeing_enabled,number_of_notifications,screen_time_before_sleep,breaks_during_work,weekly_offline_hours,digital_id
False,False,61,0.4191024304440629,8,21.92707243727313,1
True,True,59,0.6715191847959994,7,0.0,2
False,False,60,2.252623658268498,4,24.084905103717787,3
False,False,49,0.7479976406845648,2,8.419648394574525,4
True,True,57,1.0286395697338595,5,13.514514952552608,5
False,False,60,1.3410698866980464,3,18.05265620437408,6
True,False,65,1.263446215973914,6,12.767973869284932,7
False,False,67,1.0870814432439675,9,8.095880944499394,8
False,False,52,1.957238897968176,3,20.03264909482339,9
True,True,62,0.0,4,14.088958681842806,10
False,False,63,1.0352279021586897,10,3.5657127073641317,11
False,False,50,0.8803646735528823,2,4.72050127510353,12
False,False,65,0.8299391315458594,1,10.619488783288151,13
True,False,57,1.2604472028596634,6,14.2517009923734,14
False,False,52,0.7722656611569734,8,6.724089810475565,15
True,False,73,1.9613181936251356,5,16.921902058764786,16
True,True,57,1.5605763793713208,0,16.438963672765478,17
True,False,56,0.8499443229119544,5,1.8598385334812324,18
True,False,62,1.173385971859546,6,16.982557923028843,19
False,False,59,0.2388063182052465,0,23.091730529722195,20
False,False,61,1.0243571257175927,0,13.48241714507274,21
False,False,57,0.9128377983005512,4,13.08443572683785,22
False,False,67,1.688305039922776,8,3.351965037610144,23
True,False,46,0.8593124918568685,6,11.543032992268566,24
False,True,60,1.3129382769207243,7,19.533507233686198,25
False,False,58,2.966576899985745,3,21.69603488271964,26
True,False,60,1.2803398179019645,0,14.392439413545851,27
True,False,63,1.3441014634959907,10,0.0,28
True,False,59,0.7121476395458355,0,11.020764020117657,29
False,False,51,0.6933069800946909,9,21.94840463627612,30
True,False,48,0.8127989858649791,3,3.9881655960913625,31
True,True,61,0.8514142011844235,2,5.216176793157294,32
False,False,72,0.2729181532645971,1,11.132098612546136,33
True,False,62,0.9881247741058112,5,17.27280953380276,34
False,False,69,0.5612345773565316,6,30.658387637347754,35
False,False,51,0.0231452931394642,2,12.542040590202692,36
False,False,50,0.2787121009139295,2,7.000101380606305,37
False,False,67,0.5001262785052294,8,0.0,38
True,False,56,3.0,6,12.6942253947677,39
True,True,64,1.6843896888110723,4,0.4767811854238424,40
True,True,52,0.722990857973577,5,8.122276082606481,41
True,False,76,2.594968922427629,0,21.73168859486833,42
False,False,61,0.5452113705458965,10,0.0,43
False,False,66,0.628350080931324,1,15.079578239219416,44
False,True,73,0.8962557989544593,10,19.95403456047644,45
True,False,69,0.0,10,4.154830677814649,46
False,False,60,0.0,3,12.777321531647171,47
False,False,64,0.4772623094749626,7,11.911989660212136,48
True,True,55,1.7287164980232046,7,6.3966244949467015,49
False,False,65,1.0592721350691563,1,0.0,50
True,False,63,0.0,5,0.0,51
False,False,67,1.3102978569867645,4,6.794327544349968,52
True,False,63,1.2234974137211272,1,1.5865059679181517,53
True,False,61,0.1924578087183845,9,8.846835554856138,54
True,False,65,0.4088133327235375,9,12.75520104739913,55
True,False,64,0.7164772476855217,0,14.204616242111712,56
False,True,70,0.3795279758587434,2,0.0,57
False,False,51,0.6591857250129156,1,16.113335913239887,58
False,True,59,0.6009672508608965,9,16.48841562962712,59
False,False,57,1.4189523491929668,9,16.540670994108915,60
True,False,66,2.0167255422646555,0,0.0,61
False,True,58,0.1321933644370262,5,17.11074775313002,62
False,False,54,0.8944483356227526,4,12.6683649271722,63
False,False,66,0.0,10,5.147247442293449,64
False,True,59,1.6628005204513163,10,12.580854367264356,65
False,True,53,0.7053892651284384,0,7.501049919491511,66
False,False,58,1.4609803464358686,8,0.0,67
False,False,65,0.6700388332500422,6,21.019857534670063,68
False,False,60,1.1573137868085066,10,10.723018158663216,69
True,False,52,1.4304927881576806,0,7.109421256233535,70
False,False,42,2.491361931340159,6,14.013819415371277,71
False,True,62,0.9894074840249028,7,6.735111775359962,72
False,True,52,0.011134132563658,5,19.81052666715844,73
False,True,59,0.7539483045282644,4,18.058488493206603,74
False,True,65,0.383135690923573,2,4.558983217535411,75
False,False,59,2.073419641223681,0,8.81814757981424,76
False,False,73,1.872207336321251,1,8.214721107944191,77
True,False,68,2.431363152645952,1,6.309772613168659,78
True,True,69,0.8936171355798983,6,9.282617426836453,79
False,False,67,0.9014378663413564,7,12.992140418155785,80
True,False,59,1.787396865694684,9,0.0,81
False,False,70,1.0578304847650526,6,12.714717359543808,82
False,False,57,1.3329478261222103,10,24.72610015212244,83
True,False,50,1.3797132512113368,7,12.858483329994366,84
False,False,57,1.2870883658203105,9,3.5078162272578046,85
False,False,59,0.0,4,12.953571796962372,86
False,False,55,0.6432423716796525,8,11.744173821509294,87
False,False,59,1.4763237563795122,10,7.081706124351995,88
False,True,46,0.0,1,12.368698801193728,89
False,False,54,1.5207071408376065,8,6.489848352679605,90
True,False,68,0.0,9,9.901175217365733,91
False,False,54,1.080525435178918,7,17.521444649805364,92
True,True,52,1.87210430780762,4,20.21094005366659,93
True,False,54,0.0772904200802016,0,2.567309005102188,94
True,False,58,0.3464564565294922,3,8.596130178516054,95
False,False,66,0.6646124706133889,2,3.443924577783513,96
False,False,63,0.7992684741983405,7,27.442316240749,97
False,False,60,1.1302639545605144,8,0.0,98
True,False,53,1.870749706277518,6,21.733382073753088,99
False,True,64,0.2131113756673192,5,8.006113157070025,100
True,False,62,0.0,4,8.803407727495044,101
False,False,45,0.8220124216116838,5,9.104649438138702,102
False,False,64,1.8500440322715483,4,14.012970868741125,103
True,True,65,1.5753448208659142,0,13.770644398195142,104
False,False,69,1.1548823805104338,10,6.328771528842589,105
True,False,59,0.7823840915380116,4,17.022569558057718,106
False,True,60,1.1591108975947644,10,16.124107663154803,107
True,False,59,0.6067818989057947,9,0.0,108
False,False,77,0.4529604386231193,8,12.951266531348905,109
True,True,68,0.9629175035776892,10,21.285629852352784,110
False,False,69,0.2177671271810792,8,16.09529392273584,111
False,True,51,0.0480540722779433,9,8.156062610171803,112
True,False,69,0.4220312509562708,4,14.72676999627091,113
False,False,61,2.040739595041764,4,8.115453820887932,114
True,False,48,0.2225719145540627,10,6.341499110279311,115
